image_id,filename,node_level,n_nodes_true,n_edges_true,directed_true,seed
g0001,g0001.png,1,1,0,rettet,420001
g0002,g0002.png,1,1,0,urettet,420002
g0003,g0003.png,1,1,0,rettet,420003
g0004,g0004.png,1,1,0,urettet,420004
g0005,g0005.png,1,1,0,rettet,420005
g0006,g0006.png,1,1,0,urettet,420006
g0007,g0007.png,1,1,0,rettet,420007
g0008,g0008.png,1,1,0,urettet,420008
g0009,g0009.png,1,1,0,rettet,420009
g0010,g0010.png,1,1,0,urettet,420010
g0011,g0011.png,2,2,1,rettet,420011
g0012,g0012.png,2,2,1,urettet,420012
g0013,g0013.png,2,2,1,rettet,420013
g0014,g0014.png,2,2,1,urettet,420014
g0015,g0015.png,2,2,1,rettet,420015
g0016,g0016.png,2,2,1,urettet,420016
g0017,g0017.png,2,2,1,rettet,420017
g0018,g0018.png,2,2,1,urettet,420018
g0019,g0019.png,2,2,1,rettet,420019
g0020,g0020.png,2,2,1,urettet,420020
g0021,g0021.png,3,3,3,rettet,420021
g0022,g0022.png,3,3,3,urettet,420022
g0023,g0023.png,3,3,3,rettet,420023
g0024,g0024.png,3,3,3,urettet,420024
g0025,g0025.png,3,3,3,rettet,420025
g0026,g0026.png,3,3,3,urettet,420026
g0027,g0027.png,3,3,3,rettet,420027
g0028,g0028.png,3,3,3,urettet,420028
g0029,g0029.png,3,3,2,rettet,420029
g0030,g0030.png,3,3,3,urettet,420030
g0031,g0031.png,4,4,4,rettet,420031
g0032,g0032.png,4,4,4,urettet,420032
g0033,g0033.png,4,4,4,rettet,420033
g0034,g0034.png,4,4,4,urettet,420034
g0035,g0035.png,4,4,4,rettet,420035
g0036,g0036.png,4,4,4,urettet,420036
g0037,g0037.png,4,4,4,rettet,420037
g0038,g0038.png,4,4,4,urettet,420038
g0039,g0039.png,4,4,4,rettet,420039
g0040,g0040.png,4,4,4,urettet,420040
g0041,g0041.png,5,5,5,rettet,420041
g0042,g0042.png,5,5,5,urettet,420042
g0043,g0043.png,5,5,5,rettet,420043
g0044,g0044.png,5,5,5,urettet,420044
g0045,g0045.png,5,5,5,rettet,420045
g0046,g0046.png,5,5,5,urettet,420046
g0047,g0047.png,5,5,5,rettet,420047
g0048,g0048.png,5,5,5,urettet,420048
g0049,g0049.png,5,5,5,rettet,420049
g0050,g0050.png,5,5,5,urettet,420050
g0051,g0051.png,6,6,6,rettet,420051
g0052,g0052.png,6,6,6,urettet,420052
g0053,g0053.png,6,6,6,rettet,420053
g0054,g0054.png,6,6,6,urettet,420054
g0055,g0055.png,6,6,6,rettet,420055
g0056,g0056.png,6,6,6,urettet,420056
g0057,g0057.png,6,6,6,rettet,420057
g0058,g0058.png,6,6,6,urettet,420058
g0059,g0059.png,6,6,6,rettet,420059
g0060,g0060.png,6,6,6,urettet,420060
g0061,g0061.png,7,7,7,rettet,420061
g0062,g0062.png,7,7,7,urettet,420062
g0063,g0063.png,7,7,7,rettet,420063
g0064,g0064.png,7,7,7,urettet,420064
g0065,g0065.png,7,7,7,rettet,420065
g0066,g0066.png,7,7,7,urettet,420066
g0067,g0067.png,7,7,7,rettet,420067
g0068,g0068.png,7,7,7,urettet,420068
g0069,g0069.png,7,7,7,rettet,420069
g0070,g0070.png,7,7,7,urettet,420070
g0071,g0071.png,8,8,8,rettet,420071
g0072,g0072.png,8,8,8,urettet,420072
g0073,g0073.png,8,8,8,rettet,420073
g0074,g0074.png,8,8,8,urettet,420074
g0075,g0075.png,8,8,8,rettet,420075
g0076,g0076.png,8,8,8,urettet,420076
g0077,g0077.png,8,8,8,rettet,420077
g0078,g0078.png,8,8,8,urettet,420078
g0079,g0079.png,8,8,8,rettet,420079
g0080,g0080.png,8,8,8,urettet,420080
g0081,g0081.png,9,9,9,rettet,420081
g0082,g0082.png,9,9,9,urettet,420082
g0083,g0083.png,9,9,9,rettet,420083
g0084,g0084.png,9,9,9,urettet,420084
g0085,g0085.png,9,9,9,rettet,420085
g0086,g0086.png,9,9,9,urettet,420086
g0087,g0087.png,9,9,9,rettet,420087
g0088,g0088.png,9,9,9,urettet,420088
g0089,g0089.png,9,9,9,rettet,420089
g0090,g0090.png,9,9,9,urettet,420090
g0091,g0091.png,10,10,10,rettet,420091
g0092,g0092.png,10,10,10,urettet,420092
g0093,g0093.png,10,10,10,rettet,420093
g0094,g0094.png,10,10,10,urettet,420094
g0095,g0095.png,10,10,10,rettet,420095
g0096,g0096.png,10,10,10,urettet,420096
g0097,g0097.png,10,10,10,rettet,420097
g0098,g0098.png,10,10,10,urettet,420098
g0099,g0099.png,10,10,10,rettet,420099
g0100,g0100.png,10,10,10,urettet,420100
g0101,g0101.png,11,11,11,rettet,420101
g0102,g0102.png,11,11,11,urettet,420102
g0103,g0103.png,11,11,11,rettet,420103
g0104,g0104.png,11,11,11,urettet,420104
g0105,g0105.png,11,11,11,rettet,420105
g0106,g0106.png,11,11,11,urettet,420106
g0107,g0107.png,11,11,11,rettet,420107
g0108,g0108.png,11,11,11,urettet,420108
g0109,g0109.png,11,11,11,rettet,420109
g0110,g0110.png,11,11,11,urettet,420110
g0111,g0111.png,12,12,12,rettet,420111
g0112,g0112.png,12,12,12,urettet,420112
g0113,g0113.png,12,12,12,rettet,420113
g0114,g0114.png,12,12,12,urettet,420114
g0115,g0115.png,12,12,12,rettet,420115
g0116,g0116.png,12,12,12,urettet,420116
g0117,g0117.png,12,12,12,rettet,420117
g0118,g0118.png,12,12,12,urettet,420118
g0119,g0119.png,12,12,12,rettet,420119
g0120,g0120.png,12,12,12,urettet,420120
g0121,g0121.png,13,13,13,rettet,420121
g0122,g0122.png,13,13,13,urettet,420122
g0123,g0123.png,13,13,13,rettet,420123
g0124,g0124.png,13,13,13,urettet,420124
g0125,g0125.png,13,13,13,rettet,420125
g0126,g0126.png,13,13,13,urettet,420126
g0127,g0127.png,13,13,13,rettet,420127
g0128,g0128.png,13,13,13,urettet,420128
g0129,g0129.png,13,13,13,rettet,420129
g0130,g0130.png,13,13,13,urettet,420130
g0131,g0131.png,14,14,14,rettet,420131
g0132,g0132.png,14,14,14,urettet,420132
g0133,g0133.png,14,14,14,rettet,420133
g0134,g0134.png,14,14,14,urettet,420134
g0135,g0135.png,14,14,14,rettet,420135
g0136,g0136.png,14,14,14,urettet,420136
g0137,g0137.png,14,14,14,rettet,420137
g0138,g0138.png,14,14,14,urettet,420138
g0139,g0139.png,14,14,14,rettet,420139
g0140,g0140.png,14,14,14,urettet,420140
g0141,g0141.png,15,15,15,rettet,420141
g0142,g0142.png,15,15,15,urettet,420142
g0143,g0143.png,15,15,15,rettet,420143
g0144,g0144.png,15,15,15,urettet,420144
g0145,g0145.png,15,15,15,rettet,420145
g0146,g0146.png,15,15,15,urettet,420146
g0147,g0147.png,15,15,15,rettet,420147
g0148,g0148.png,15,15,15,urettet,420148
g0149,g0149.png,15,15,15,rettet,420149
g0150,g0150.png,15,15,15,urettet,420150
g0151,g0151.png,16,16,16,rettet,420151
g0152,g0152.png,16,16,16,urettet,420152
g0153,g0153.png,16,16,16,rettet,420153
g0154,g0154.png,16,16,16,urettet,420154
g0155,g0155.png,16,16,16,rettet,420155
g0156,g0156.png,16,16,16,urettet,420156
g0157,g0157.png,16,16,16,rettet,420157
g0158,g0158.png,16,16,16,urettet,420158
g0159,g0159.png,16,16,16,rettet,420159
g0160,g0160.png,16,16,16,urettet,420160
g0161,g0161.png,17,17,17,rettet,420161
g0162,g0162.png,17,17,17,urettet,420162
g0163,g0163.png,17,17,17,rettet,420163
g0164,g0164.png,17,17,17,urettet,420164
g0165,g0165.png,17,17,17,rettet,420165
g0166,g0166.png,17,17,17,urettet,420166
g0167,g0167.png,17,17,17,rettet,420167
g0168,g0168.png,17,17,17,urettet,420168
g0169,g0169.png,17,17,17,rettet,420169
g0170,g0170.png,17,17,17,urettet,420170
g0171,g0171.png,18,18,18,rettet,420171
g0172,g0172.png,18,18,18,urettet,420172
g0173,g0173.png,18,18,18,rettet,420173
g0174,g0174.png,18,18,18,urettet,420174
g0175,g0175.png,18,18,18,rettet,420175
g0176,g0176.png,18,18,18,urettet,420176
g0177,g0177.png,18,18,18,rettet,420177
g0178,g0178.png,18,18,18,urettet,420178
g0179,g0179.png,18,18,18,rettet,420179
g0180,g0180.png,18,18,18,urettet,420180
g0181,g0181.png,19,19,19,rettet,420181
g0182,g0182.png,19,19,19,urettet,420182
g0183,g0183.png,19,19,19,rettet,420183
g0184,g0184.png,19,19,19,urettet,420184
g0185,g0185.png,19,19,19,rettet,420185
g0186,g0186.png,19,19,19,urettet,420186
g0187,g0187.png,19,19,19,rettet,420187
g0188,g0188.png,19,19,19,urettet,420188
g0189,g0189.png,19,19,19,rettet,420189
g0190,g0190.png,19,19,19,urettet,420190
g0191,g0191.png,20,20,20,rettet,420191
g0192,g0192.png,20,20,20,urettet,420192
g0193,g0193.png,20,20,20,rettet,420193
g0194,g0194.png,20,20,20,urettet,420194
g0195,g0195.png,20,20,20,rettet,420195
g0196,g0196.png,20,20,20,urettet,420196
g0197,g0197.png,20,20,20,rettet,420197
g0198,g0198.png,20,20,20,urettet,420198
g0199,g0199.png,20,20,20,rettet,420199
g0200,g0200.png,20,20,20,urettet,420200
g0201,g0201.png,21,21,21,rettet,420201
g0202,g0202.png,21,21,21,urettet,420202
g0203,g0203.png,21,21,21,rettet,420203
g0204,g0204.png,21,21,21,urettet,420204
g0205,g0205.png,21,21,21,rettet,420205
g0206,g0206.png,21,21,21,urettet,420206
g0207,g0207.png,21,21,21,rettet,420207
g0208,g0208.png,21,21,21,urettet,420208
g0209,g0209.png,21,21,21,rettet,420209
g0210,g0210.png,21,21,21,urettet,420210
g0211,g0211.png,22,22,22,rettet,420211
g0212,g0212.png,22,22,22,urettet,420212
g0213,g0213.png,22,22,22,rettet,420213
g0214,g0214.png,22,22,22,urettet,420214
g0215,g0215.png,22,22,22,rettet,420215
g0216,g0216.png,22,22,22,urettet,420216
g0217,g0217.png,22,22,22,rettet,420217
g0218,g0218.png,22,22,22,urettet,420218
g0219,g0219.png,22,22,22,rettet,420219
g0220,g0220.png,22,22,22,urettet,420220
g0221,g0221.png,23,23,23,rettet,420221
g0222,g0222.png,23,23,23,urettet,420222
g0223,g0223.png,23,23,23,rettet,420223
g0224,g0224.png,23,23,23,urettet,420224
g0225,g0225.png,23,23,23,rettet,420225
g0226,g0226.png,23,23,23,urettet,420226
g0227,g0227.png,23,23,23,rettet,420227
g0228,g0228.png,23,23,23,urettet,420228
g0229,g0229.png,23,23,23,rettet,420229
g0230,g0230.png,23,23,23,urettet,420230
g0231,g0231.png,24,24,24,rettet,420231
g0232,g0232.png,24,24,24,urettet,420232
g0233,g0233.png,24,24,24,rettet,420233
g0234,g0234.png,24,24,24,urettet,420234
g0235,g0235.png,24,24,24,rettet,420235
g0236,g0236.png,24,24,24,urettet,420236
g0237,g0237.png,24,24,24,rettet,420237
g0238,g0238.png,24,24,24,urettet,420238
g0239,g0239.png,24,24,24,rettet,420239
g0240,g0240.png,24,24,24,urettet,420240